cleansing,CaseFolding
Mau transaksi susah amat dari tadi Pada saat klik  buat pesanan  error terus  ada pop up muncul dengan keterangan  Ups halaman sedang dalam perbaikan mohon tunggu sebentar Sudah ditunggu dari tadi tapi masih seperti itu saja  tolong dong diperbaiki Jangan sampai jadi APLIKASI GAK BERGUNA,mau transaksi susah amat dari tadi pada saat klik  buat pesanan  error terus  ada pop up muncul dengan keterangan  ups halaman sedang dalam perbaikan mohon tunggu sebentar sudah ditunggu dari tadi tapi masih seperti itu saja  tolong dong diperbaiki jangan sampai jadi aplikasi gak berguna
kenapa sekarang tiap kali belanja pesanan diterima secara otomatis padahal barang baru akan dikirim dan saya mengalami ini nggak hanya kali atau dua kali tapi udah berkali kali  kan jadi kesel sendiri tiap kali belanja harus komplen pesanan di terima secara otomatis,kenapa sekarang tiap kali belanja pesanan diterima secara otomatis padahal barang baru akan dikirim dan saya mengalami ini nggak hanya kali atau dua kali tapi udah berkali kali  kan jadi kesel sendiri tiap kali belanja harus komplen pesanan di terima secara otomatis
Hati  ya dengan layanan pinjaman dr shopee bunganya gede banget sama aja ini sih rentenir lintah darat gak ada otaknya tambah lagi skrg cicilan paylater untuk dihapuskan dan hanya tersedia untuk cicilan dan saja Shopee makin kesini bener  gak bermutu Otak duit doank,hati  ya dengan layanan pinjaman dr shopee bunganya gede banget sama aja ini sih rentenir lintah darat gak ada otaknya tambah lagi skrg cicilan paylater untuk dihapuskan dan hanya tersedia untuk cicilan dan saja shopee makin kesini bener  gak bermutu otak duit doank
Batas waktu pembatalan terlalu lama harus nunggu sampai hari  beda sama Bukalapak kalo pembeli membatalkan pesanan otomatis langsung batal tanpa harus menunggu persetujuan penjual  kalo penjualnya koperatif dengan langsung mengkonfirmasi pembatalan mending duit kita ngga nyangkut lama lama tapi  kalo pas lagi ketemu penjual yang sialan dan batu kita harus nunggu sampe hari cuma buat minta pembatalan pemesanan tetaplah menjunjung prinsip PEMBELI ADALAH RAJA,batas waktu pembatalan terlalu lama harus nunggu sampai hari  beda sama bukalapak kalo pembeli membatalkan pesanan otomatis langsung batal tanpa harus menunggu persetujuan penjual  kalo penjualnya koperatif dengan langsung mengkonfirmasi pembatalan mending duit kita ngga nyangkut lama lama tapi  kalo pas lagi ketemu penjual yang sialan dan batu kita harus nunggu sampe hari cuma buat minta pembatalan pemesanan tetaplah menjunjung prinsip pembeli adalah raja
Udah kalo buat akun baru karna mau checkout pesanan pelanggan  tapi pas udah masukin voucher gratis ongkir gabisa di checkout tulisannya gini checkout gagal kode voucher ini telah digunakan  Mohon masukkan kode voucher lain Masa akun pas mau di checkout gitu semua  Makin kesini makin pelit voucher juga  adanya cuma shope pay,udah kalo buat akun baru karna mau checkout pesanan pelanggan  tapi pas udah masukin voucher gratis ongkir gabisa di checkout tulisannya gini checkout gagal kode voucher ini telah digunakan  mohon masukkan kode voucher lain masa akun pas mau di checkout gitu semua  makin kesini makin pelit voucher juga  adanya cuma shope pay
Shopee gak bisa dipake voucher gratis ongkir nya udah uninstall berkali kali tetap gak bisa aneh bngt,shopee gak bisa dipake voucher gratis ongkir nya udah uninstall berkali kali tetap gak bisa aneh bngt
Dulu aku suka padamu dulu aku memang suka ya ya ya Se ka rang tak tak tak mau tak tak tak mau tak ku ta mau tak,dulu aku suka padamu dulu aku memang suka ya ya ya se ka rang tak tak tak mau tak tak tak mau tak ku ta mau tak
Skrg driver shopee matre wkwk minta di anterin ke alamat malah minta tambahan bensin bolak balik padahal jaraknya menit nyampe ,skrg driver shopee matre wkwk minta di anterin ke alamat malah minta tambahan bensin bolak balik padahal jaraknya menit nyampe 
Semakin hari shopee semakin ribet  hapus akun gak bisa  apa apa gak bisa  saran aja klo ada akun yang sudah lama tidak aktif hapus otomatis aja dari shopee dan satu lagi berilah kenyamanan untuk custmu,semakin hari shopee semakin ribet  hapus akun gak bisa  apa apa gak bisa  saran aja klo ada akun yang sudah lama tidak aktif hapus otomatis aja dari shopee dan satu lagi berilah kenyamanan untuk custmu
Sangat kecewa Shopee pengamanan nya lemah masih pintar si pencuri hacker gara  sebagai pengguna shopee saya kemalingan  dana shopee pay saya Rp  ludes di gondol maling minta pertanggung jawaban tak di kubris kapok saya dan gak nyaman lagi sbg pengguna shopee auto tutup akun aja,sangat kecewa shopee pengamanan nya lemah masih pintar si pencuri hacker gara  sebagai pengguna shopee saya kemalingan  dana shopee pay saya rp  ludes di gondol maling minta pertanggung jawaban tak di kubris kapok saya dan gak nyaman lagi sbg pengguna shopee auto tutup akun aja
Untuk sementara ini shopee tidak bertanggung jawab atas hilangnya pengiriman barang saya  saya sebagai dropship dan shopee tidak bisa menindak lanjuti menginput pesanan saya,untuk sementara ini shopee tidak bertanggung jawab atas hilangnya pengiriman barang saya  saya sebagai dropship dan shopee tidak bisa menindak lanjuti menginput pesanan saya
Saldo shopeepay yg habis di ambil orang koq akun ku yg di non aktifkan kan aneh  Apalah apl ini udh bikin aku ksal aja,saldo shopeepay yg habis di ambil orang koq akun ku yg di non aktifkan kan aneh  apalah apl ini udh bikin aku ksal aja
Tagihan shopee pay later hampir lipat dari jumlah pembelanjaan  Hati  pemakai spay later  jgn terjebak  Rincian biaya yg tertera saat CO jauh berbeda dr rincian tagihan  Segera pindah ke apl sebelah aja  jgn pernah tertipu spaylater ccln yg biaya tagihannya bengkak lipat,tagihan shopee pay later hampir lipat dari jumlah pembelanjaan  hati  pemakai spay later  jgn terjebak  rincian biaya yg tertera saat co jauh berbeda dr rincian tagihan  segera pindah ke apl sebelah aja  jgn pernah tertipu spaylater ccln yg biaya tagihannya bengkak lipat
jualan di shopee susah  saya menyerah  mau harga semurah apapun tetep masih ada yg paling murah  apalagi barang cina  atau barang kw masuk sudah tamat  tidak akan bisa masuk harga untuk bersaing,jualan di shopee susah  saya menyerah  mau harga semurah apapun tetep masih ada yg paling murah  apalagi barang cina  atau barang kw masuk sudah tamat  tidak akan bisa masuk harga untuk bersaing
Masa hbz Instal lemotnya luar biasa tak bisa pick up pesanan masuk,masa hbz instal lemotnya luar biasa tak bisa pick up pesanan masuk
Tumben belanja online barang blm dikirim no resi udah ada Barang dikemas di suruh nunggu ampe hari gila lama banget Trus chat pembeli ga da direspons Untuk pengembalian dana harus pake shopeepay Gratis ongkirnya ribet kenapa ga ky si ijo gk pake kode atau voucher Kalo ada tanda gratis ongkir lansung kepotong di halaman check out,tumben belanja online barang blm dikirim no resi udah ada barang dikemas di suruh nunggu ampe hari gila lama banget trus chat pembeli ga da direspons untuk pengembalian dana harus pake shopeepay gratis ongkirnya ribet kenapa ga ky si ijo gk pake kode atau voucher kalo ada tanda gratis ongkir lansung kepotong di halaman check out
kenapa shopee selalu lama saat tarik dana masuk ke rekening yang awalnya dulu cepat sekali mohon segera diperbaiki masalah ini sangat kerepotan kalau kondisi sedang urgent  terimaksih,kenapa shopee selalu lama saat tarik dana masuk ke rekening yang awalnya dulu cepat sekali mohon segera diperbaiki masalah ini sangat kerepotan kalau kondisi sedang urgent  terimaksih
Bintang dulu karna  pas Top Up money tapi saldo masuk padahal pas dijalan tol alhasil harus beli lagi pas di loket gerbang tol  pas pengajuan pengembalian dana malah ditolak  gak lagi deh top up money disini,bintang dulu karna  pas top up money tapi saldo masuk padahal pas dijalan tol alhasil harus beli lagi pas di loket gerbang tol  pas pengajuan pengembalian dana malah ditolak  gak lagi deh top up money disini
Buat pengguna baru boro boro bisa klaim hadiah  pakai voucher gratis ongkir dan dpt disc rb aja gak bisa di checkout katanya voucher tidak sah Makasi,buat pengguna baru boro boro bisa klaim hadiah  pakai voucher gratis ongkir dan dpt disc rb aja gak bisa di checkout katanya voucher tidak sah makasi
untuk shopee tolong ilangin shopee expres yg lemot yang barang di titip lagi ke si cepat padahal si lemot juga yg lain nya ok ok yg ga oke dari shopee yg mau sok soan buka jasa kurir kasih ajah ke ahlinya dalam urusan kirim mengirim kalou gini terus shopee termasuk benalu toko udah tepat ngirim kurir dari shopee yg ga bener toko yg kena pihak shope mah tau untung dari pelapak tanpa ada kendala yg lain,untuk shopee tolong ilangin shopee expres yg lemot yang barang di titip lagi ke si cepat padahal si lemot juga yg lain nya ok ok yg ga oke dari shopee yg mau sok soan buka jasa kurir kasih ajah ke ahlinya dalam urusan kirim mengirim kalou gini terus shopee termasuk benalu toko udah tepat ngirim kurir dari shopee yg ga bener toko yg kena pihak shope mah tau untung dari pelapak tanpa ada kendala yg lain
Kenapa makin kesini aplikasi shopee makin jelek ya skrng kok gratis ongkir pengguna baru ngak bisa digunakan katanya checkout gagal kode voucher ini telah digunakan mohon masukan kode voucher lain nah gimana ngak sebel coba padahal akun nya baru ngak jelas banget ini apk,kenapa makin kesini aplikasi shopee makin jelek ya skrng kok gratis ongkir pengguna baru ngak bisa digunakan katanya checkout gagal kode voucher ini telah digunakan mohon masukan kode voucher lain nah gimana ngak sebel coba padahal akun nya baru ngak jelas banget ini apk
Mau nulis alamat eror gak bisa Padahal pesan barang harus ada alamatnya  Cukup bintang karena mengecewakan,mau nulis alamat eror gak bisa padahal pesan barang harus ada alamatnya  cukup bintang karena mengecewakan
Shopee kurang bagus aplikasinya  Gue udah pesan tinggal checkout malah di ribetin ini itu soal SIM KTP KK,shopee kurang bagus aplikasinya  gue udah pesan tinggal checkout malah di ribetin ini itu soal sim ktp kk
Kak mau tanya  untuk mengaktifkan shopepay gimana ya  Shopepay saya di nonaktifkan,kak mau tanya  untuk mengaktifkan shopepay gimana ya  shopepay saya di nonaktifkan
Aplikasi nya sangat buruk apalagi dalam hal pengiriman nya  Konsumen dipaksa buat Milih jasa kirim yang disediakan shopee padahal itu sangat merugikan konsumen karena ongkirnya yang mahal,aplikasi nya sangat buruk apalagi dalam hal pengiriman nya  konsumen dipaksa buat milih jasa kirim yang disediakan shopee padahal itu sangat merugikan konsumen karena ongkirnya yang mahal
Semua sudah bagus  cuma saya sebagai penggemar COD tidak bisa berbelanja di Shopee  karena Shopee hanya menjangkau tempat tempat dekat saja  beda sekali sama Lazada  yang menjangkau semua tempat sekalipun  lebih baik saya berbelanja di Lazada saja dari pada saya harus berbelanja di Shopee  tetapi tidak bisa COD di tempat yang jauh sekalipun  Walaupun tempat tinggal saya memang jauh  tetapi Lazada selalu nomor satu untuk COD di semua tempat sekalipun  meski harganya sedikit mahal  aku tetap suka,semua sudah bagus  cuma saya sebagai penggemar cod tidak bisa berbelanja di shopee  karena shopee hanya menjangkau tempat tempat dekat saja  beda sekali sama lazada  yang menjangkau semua tempat sekalipun  lebih baik saya berbelanja di lazada saja dari pada saya harus berbelanja di shopee  tetapi tidak bisa cod di tempat yang jauh sekalipun  walaupun tempat tinggal saya memang jauh  tetapi lazada selalu nomor satu untuk cod di semua tempat sekalipun  meski harganya sedikit mahal  aku tetap suka
Ribet susah daftar lemot ganti password ajja harus pake email dulu gk bisa pake no hp  Shoppe jelek,ribet susah daftar lemot ganti password ajja harus pake email dulu gk bisa pake no hp  shoppe jelek
Paket nya Jakarta pusat ke Bogor aja Lama paket di kemas sampai hari Paket di kirim muter muter Jakarta hari hari baru sampe gak DECH kita butuh cepat orderan kami buat kerja bukan main main Shoppe delete aja sayang nyempitin ram hape,paket nya jakarta pusat ke bogor aja lama paket di kemas sampai hari paket di kirim muter muter jakarta hari hari baru sampe gak dech kita butuh cepat orderan kami buat kerja bukan main main shoppe delete aja sayang nyempitin ram hape
Vochernya ada yg hoax ditambah membatalkan pesanan RIBET dan Lambat  Copot aja ini aplikasi,vochernya ada yg hoax ditambah membatalkan pesanan ribet dan lambat  copot aja ini aplikasi
Aplikasi Error Tiba tiba Ke Logout sendiri dari akun Shopee  pass mau di Login lagi tidak bisa  mana Uang saya Masih ada di Shopee  ribu di Shopeepay nya  Kalo akun saya sampe Hilang Bagaimana Uang saya juga Ikut Hilang makin di Update makin Rusak ini Aplikasi Tidak Menjaga Keamanan Pemilik Akun,aplikasi error tiba tiba ke logout sendiri dari akun shopee  pass mau di login lagi tidak bisa  mana uang saya masih ada di shopee  ribu di shopeepay nya  kalo akun saya sampe hilang bagaimana uang saya juga ikut hilang makin di update makin rusak ini aplikasi tidak menjaga keamanan pemilik akun
Selama ini saya suka pakai shopee karena beberapa kemudahan dan promo Tapi kali ini saya benar  kecewa  Terutama dalam menu shopee pay later  Di awal hanya tertulis biaya transaksi  %  Ternyata pas dibayar ada biaya lain  Lumayan besar lagi  Harusnya kalau emang ada biaya  tambahan  dicantumkan di awal  jadi orang mau pakek jasanya itu udah tau resikonya  Lah ini namanya penipuan sudah  Kita transaksi  gak ada info biaya tambahan  pas bayar cicilan tiba  nambah aja,selama ini saya suka pakai shopee karena beberapa kemudahan dan promo tapi kali ini saya benar  kecewa  terutama dalam menu shopee pay later  di awal hanya tertulis biaya transaksi  %  ternyata pas dibayar ada biaya lain  lumayan besar lagi  harusnya kalau emang ada biaya  tambahan  dicantumkan di awal  jadi orang mau pakek jasanya itu udah tau resikonya  lah ini namanya penipuan sudah  kita transaksi  gak ada info biaya tambahan  pas bayar cicilan tiba  nambah aja
KEMBALIKAN KEBEBASAN PEMBELI UNTUK MEMILIH SENDIRI JASA EKSPEDISI,kembalikan kebebasan pembeli untuk memilih sendiri jasa ekspedisi
Saya pengguna baru kenapa kode otp nya tidak di verifikasi saya gk bisa blanja dong,saya pengguna baru kenapa kode otp nya tidak di verifikasi saya gk bisa blanja dong
Saya tidak suka belanja di Shopee  beberapa kali ada masalah ketika saya belanja belum pernah bs membatu  walau sudah bicara dengan pihak Shopee sama aj gak bisa membantu,saya tidak suka belanja di shopee  beberapa kali ada masalah ketika saya belanja belum pernah bs membatu  walau sudah bicara dengan pihak shopee sama aj gak bisa membantu
Maaf bintang jadi dua hari yang lalu gua ganti hp langsung download shopee  terus pas mau login akun gua gabisa kode OTP nya gak dikirim kirim  udah gua coba terus selama hari ini masih gabisa,maaf bintang jadi dua hari yang lalu gua ganti hp langsung download shopee  terus pas mau login akun gua gabisa kode otp nya gak dikirim kirim  udah gua coba terus selama hari ini masih gabisa
kenapa ya tampilan harga di shopee ga seperti toko sebelah kalo di shopee produk pakai range harga terus lebih mahal dari toko sebelah  harusnya tampilan produk harga seperti tokopedia  jadi pembeli ga bingung,kenapa ya tampilan harga di shopee ga seperti toko sebelah kalo di shopee produk pakai range harga terus lebih mahal dari toko sebelah  harusnya tampilan produk harga seperti tokopedia  jadi pembeli ga bingung
Enggak sesuai harapan Pengantaran tidak memuaskan Barangx lama gak nyampe  Aku kira bagus kinerja nya,enggak sesuai harapan pengantaran tidak memuaskan barangx lama gak nyampe  aku kira bagus kinerja nya
Apk nya jelek sekali voucher gratis ongkir gk bisa digunain  buat temen  jangan instal apk ini nnti menyesal,apk nya jelek sekali voucher gratis ongkir gk bisa digunain  buat temen  jangan instal apk ini nnti menyesal
Wahh gila di update malah lemot  pencet menu ga kebuka  gimanasihh Parah,wahh gila di update malah lemot  pencet menu ga kebuka  gimanasihh parah
Mengatur Jasa kirim dalam membuat toko baru di shoppe macet  tidak bekerja dengan baik,mengatur jasa kirim dalam membuat toko baru di shoppe macet  tidak bekerja dengan baik
Buat yang baru mau shopee payleter pikir pikir dulu ya soalnya ga rinci dan ga jelas  Kalau emgb pembayaran sampai bisa masa tagihan bulan depannya tetep sebanyak limit ga dipakai ga masuk akal  Capek bayarin mulu tiap bulan kapok ga jelas rinciannya,buat yang baru mau shopee payleter pikir pikir dulu ya soalnya ga rinci dan ga jelas  kalau emgb pembayaran sampai bisa masa tagihan bulan depannya tetep sebanyak limit ga dipakai ga masuk akal  capek bayarin mulu tiap bulan kapok ga jelas rinciannya
Sebener nya bagus Barang murah  tapi kenapa ada orang dalam yg bekerja shopepay menyalahgunakan Saya di sms kode dari shoppe suruh ngisi saldo shoppepay  Abis di isi langsung ilang,sebener nya bagus barang murah  tapi kenapa ada orang dalam yg bekerja shopepay menyalahgunakan saya di sms kode dari shoppe suruh ngisi saldo shoppepay  abis di isi langsung ilang
Gimna ni isi saldo shopeePay dari semalam sampai sekarang belum masuk Sedangkan saldo di atm sudah berkurang Payah,gimna ni isi saldo shopeepay dari semalam sampai sekarang belum masuk sedangkan saldo di atm sudah berkurang payah
Asu ni apk gw mau nonton anime di animslovers iklan nya ga bisa diskip padahal udah nonton sampe habis,asu ni apk gw mau nonton anime di animslovers iklan nya ga bisa diskip padahal udah nonton sampe habis
saya kecewa banget kenapa voucher sudah ada tapi tidak bisa di pakai  padahal di temen yang lain semua bisa jadi kalau mau belanja nunggu sebulan ada promo baru ada voucher yang berlaku,saya kecewa banget kenapa voucher sudah ada tapi tidak bisa di pakai  padahal di temen yang lain semua bisa jadi kalau mau belanja nunggu sebulan ada promo baru ada voucher yang berlaku
Maaf saya ubah bintang saya Saya sangat kecewa dengan fitur shopeelater Saya tidak pernah ngeh dengan biaya transaksi yg ternyata membengkak  karena yg ditampilkan di checkout hanya biaya penangan dan itu cuma  %  nyatanya pas bayar tagihan biaya transaksinya lebih besar dari biaya penanganan  Pantesan saja setiap saya hitung pengeluaran buat usaha slalu membengkak  ternyata membengkak di biaya transaksi shopeelater  Mohon untuk memperbaiki kecemasan ini  karena banyak yg sudah dirugikan,maaf saya ubah bintang saya saya sangat kecewa dengan fitur shopeelater saya tidak pernah ngeh dengan biaya transaksi yg ternyata membengkak  karena yg ditampilkan di checkout hanya biaya penangan dan itu cuma  %  nyatanya pas bayar tagihan biaya transaksinya lebih besar dari biaya penanganan  pantesan saja setiap saya hitung pengeluaran buat usaha slalu membengkak  ternyata membengkak di biaya transaksi shopeelater  mohon untuk memperbaiki kecemasan ini  karena banyak yg sudah dirugikan
Buruk sekali Penanganan trouble sangat lambat customer service di telepon separuh jalan malah di matikan  Tidak bisa menarik dana dari hasil penjualan kode otp sampe berhari hari tidak kunjung di kirim  Padahal no aktif  internet sangat cepat  Setiap lapor ke cs di suruh log out  log in ulang berkali kali tapi tidak ada solusi  Menunggu jam besoknya lapor lagi sama lagi hasilnya malah tunggu jam  Payah banget shopee  Sangat sangat amat teramat buruk sekali pelayanan nya,buruk sekali penanganan trouble sangat lambat customer service di telepon separuh jalan malah di matikan  tidak bisa menarik dana dari hasil penjualan kode otp sampe berhari hari tidak kunjung di kirim  padahal no aktif  internet sangat cepat  setiap lapor ke cs di suruh log out  log in ulang berkali kali tapi tidak ada solusi  menunggu jam besoknya lapor lagi sama lagi hasilnya malah tunggu jam  payah banget shopee  sangat sangat amat teramat buruk sekali pelayanan nya
Saya sering belanja di shopee  Pas ganti hp kenapa shopeepaylater gak muncul  Nomer hp sama gmail sama kenapa gak ada shopeepaylater  Gak tau lah cara berfikir shopee,saya sering belanja di shopee  pas ganti hp kenapa shopeepaylater gak muncul  nomer hp sama gmail sama kenapa gak ada shopeepaylater  gak tau lah cara berfikir shopee
Jancok aplikasi yg merepotkan mau bayar pesanan aja berbelit belit udh gt ada biaya tambahan giliran tarik saldo dr shopay admin jg kemahalan bayar iklan sih loe kapok saya pake apk ini ribet,jancok aplikasi yg merepotkan mau bayar pesanan aja berbelit belit udh gt ada biaya tambahan giliran tarik saldo dr shopay admin jg kemahalan bayar iklan sih loe kapok saya pake apk ini ribet
Shopee telah memberiksn kesempatan kepada para penipu untuk berjualan seenaknya dengan memperpanjang masa garansi pengiriman  seharusnya kasih waktu yang tegas barang tidak dikirim dalam jam dana langsung balik ke pembeli bukan membiarkan para penipu mengulur waktu seenaknya,shopee telah memberiksn kesempatan kepada para penipu untuk berjualan seenaknya dengan memperpanjang masa garansi pengiriman  seharusnya kasih waktu yang tegas barang tidak dikirim dalam jam dana langsung balik ke pembeli bukan membiarkan para penipu mengulur waktu seenaknya
Saya sdh beberapa tahun menggunakan aplikasi ini  Ini nomer order saya ya  catat HWUTYRSB  Saya sengaja order pagi  berharap pesanan saya dikirim hari ini juga tapi kenyataannya toko gak respon  seperti gak menghargai pembeli  Aneh ya  sekelas shopee bisa menyepelekan haknya pembeli  Saya hanya menunggu jawaban pembatalan aja harus nunggu lagi maaf deh  selesai transaksi ini saya mending uninstall aplikasi ini  Jawaban konyol spt ini  saya bisa saja bawa masalah ini ke ranah hukum ya,saya sdh beberapa tahun menggunakan aplikasi ini  ini nomer order saya ya  catat hwutyrsb  saya sengaja order pagi  berharap pesanan saya dikirim hari ini juga tapi kenyataannya toko gak respon  seperti gak menghargai pembeli  aneh ya  sekelas shopee bisa menyepelekan haknya pembeli  saya hanya menunggu jawaban pembatalan aja harus nunggu lagi maaf deh  selesai transaksi ini saya mending uninstall aplikasi ini  jawaban konyol spt ini  saya bisa saja bawa masalah ini ke ranah hukum ya
PELAYANAN BURUK Pengiriman menggunakan shope expres standar sangat sangat buruk yg pertama lokasi TDK dijelaskan dimana posisi barang kita berada  yg kedua pengiriman trsebut bukanlah kurir langsung dari shope tapi menggunaka kurir sicepat  dll Barang sampai ke rumah sore  ternyata barangnya gak sesuai TLP pihak shope sulit  padahal tinggal beberpa jam lagi sdh masuk di tgl berikutnya  bagaimana mau melakukan komplain  Unistal sja app ini  pelayanan marketplce sebelah lebih baik dari ini,pelayanan buruk pengiriman menggunakan shope expres standar sangat sangat buruk yg pertama lokasi tdk dijelaskan dimana posisi barang kita berada  yg kedua pengiriman trsebut bukanlah kurir langsung dari shope tapi menggunaka kurir sicepat  dll barang sampai ke rumah sore  ternyata barangnya gak sesuai tlp pihak shope sulit  padahal tinggal beberpa jam lagi sdh masuk di tgl berikutnya  bagaimana mau melakukan komplain  unistal sja app ini  pelayanan marketplce sebelah lebih baik dari ini
HATI HATI NAMA  NOMER TLP  ALAMAT DIJUAL SHOPEE  Baru baru ini saya ditelpon via WA dan katanya mendapat hadiah  juta  Ciri suara mirip operator terlatih  Nomer tlp cukup aneh persis nomer shopee  mungkin fake telp pake komputer Menawarkan kirim uang hadiah ke sopay atau nomer rek  Dan maksa minta no regristrasi  angka verifikasi Curiga ada kaki tangan di JNE JNT menjual nomerku  NELPON PAGI PAGI SAAT ORG TAK SADAR DAN BARU BANGUN  YG DIINCAR PLATINUM atau nilai uang sopay yg cukup banyak,hati hati nama  nomer tlp  alamat dijual shopee  baru baru ini saya ditelpon via wa dan katanya mendapat hadiah  juta  ciri suara mirip operator terlatih  nomer tlp cukup aneh persis nomer shopee  mungkin fake telp pake komputer menawarkan kirim uang hadiah ke sopay atau nomer rek  dan maksa minta no regristrasi  angka verifikasi curiga ada kaki tangan di jne jnt menjual nomerku  nelpon pagi pagi saat org tak sadar dan baru bangun  yg diincar platinum atau nilai uang sopay yg cukup banyak
baru pertama ini pihak shopee ngacem  akan melaporkan ke pihak hukum  keluarga semua di ancam kalau tahu kayak gini nggak bakalan dech pinjam uang tunai di  SPinjam  Biasanya ngerti kalau ada kendala dalam masa sulit sekaran kalau nekan orang sekeras apa pun kalau dananya belum ada ya mau gimana lagi kan sudah jelas tiap telat bayar bulan berbungga saran aja buat yang lain jangan sampai ambil pinjaman di  SPINJAM,baru pertama ini pihak shopee ngacem  akan melaporkan ke pihak hukum  keluarga semua di ancam kalau tahu kayak gini nggak bakalan dech pinjam uang tunai di  spinjam  biasanya ngerti kalau ada kendala dalam masa sulit sekaran kalau nekan orang sekeras apa pun kalau dananya belum ada ya mau gimana lagi kan sudah jelas tiap telat bayar bulan berbungga saran aja buat yang lain jangan sampai ambil pinjaman di  spinjam
Mohon maaf say kasih bintang satu dulu saya mau minta tolong di bantu karena saya telah ditipu oleh pihak yang mengatasnamakan shopee  saya di minta top up shopee pay kemudian saldo saya tiba tiba sudah habis mohon dibantu solusinya agar uang saya kembali,mohon maaf say kasih bintang satu dulu saya mau minta tolong di bantu karena saya telah ditipu oleh pihak yang mengatasnamakan shopee  saya di minta top up shopee pay kemudian saldo saya tiba tiba sudah habis mohon dibantu solusinya agar uang saya kembali
Duuh gimana sih udah isi shope pay buat chek out malah ga bisa apaan sih ini kok jadi gini shopee,duuh gimana sih udah isi shope pay buat chek out malah ga bisa apaan sih ini kok jadi gini shopee
Kecewa  gara  aku salah checkout di tokoku sendiri dengan beda username aja semua akun dari temen  sampai  adekku juga di curigai kalo itu akun yang sama dari aku  Woyy mereka mau beli barang  yang aku jual  Abu Hurairah berkata bahwa Rasulullah SAW bersabda  Barangsiapa melepaskan kesusahan duniawi seorang Muslim  Allah akan melepaskan kesusahannya pada hari kiamat  Barangsiapa memudahkan seorang yang mendapat kesusahan  Allah akan memudahkan urusannya di dunia dan akhirat HR Muslim,kecewa  gara  aku salah checkout di tokoku sendiri dengan beda username aja semua akun dari temen  sampai  adekku juga di curigai kalo itu akun yang sama dari aku  woyy mereka mau beli barang  yang aku jual  abu hurairah berkata bahwa rasulullah saw bersabda  barangsiapa melepaskan kesusahan duniawi seorang muslim  allah akan melepaskan kesusahannya pada hari kiamat  barangsiapa memudahkan seorang yang mendapat kesusahan  allah akan memudahkan urusannya di dunia dan akhirat hr muslim
Kenapa ya shoppe pay letter saya tiap bulan limit berkurang pdahal saya bayar tepat waktu malah sblm tanggal jatuh temponya,kenapa ya shoppe pay letter saya tiap bulan limit berkurang pdahal saya bayar tepat waktu malah sblm tanggal jatuh temponya
Shopee tolong jasa pengirimmannya di balikin lagi ky sebelum ini dong masa jadi lebih mahal si aku kemaren beli di toko itu pengiriman cuma sekarang kan nambah mahal  Tolong balikin dong shope enak jg yg kemaren  kita bebas pilih mau pake jasa kirim apa aja ini cuma jasa reguler hemat dll  Udah gitu jadi mahal ongkirnya  Tolong balikin kaya tampilan dulu dong mohon bgt yah aku mau belanja males jadinya,shopee tolong jasa pengirimmannya di balikin lagi ky sebelum ini dong masa jadi lebih mahal si aku kemaren beli di toko itu pengiriman cuma sekarang kan nambah mahal  tolong balikin dong shope enak jg yg kemaren  kita bebas pilih mau pake jasa kirim apa aja ini cuma jasa reguler hemat dll  udah gitu jadi mahal ongkirnya  tolong balikin kaya tampilan dulu dong mohon bgt yah aku mau belanja males jadinya
kalau bisa shopeeExpress itu cantumin juga no resi pengiriman yg diteruskan ke kurir lain biar gak pusing kalau mau jemput paketnya,kalau bisa shopeeexpress itu cantumin juga no resi pengiriman yg diteruskan ke kurir lain biar gak pusing kalau mau jemput paketnya
Binggung deh pakai shoope saya pengguna baru dapet hadiah dituliskannya bisa cod tapi GK bisa GK bisa di check out ,binggung deh pakai shoope saya pengguna baru dapet hadiah dituliskannya bisa cod tapi gk bisa gk bisa di check out 
Shopee tolong kalo nyari barang itu yg sesuai contohnya cari pot aquascape yg muncul itu pot nya aja jangan sama yg lain terus kalo mau nyari barang itu kalo bisa bisa nyari kota yg diinginkan contoh mau nyari kota Bandung ,shopee tolong kalo nyari barang itu yg sesuai contohnya cari pot aquascape yg muncul itu pot nya aja jangan sama yg lain terus kalo mau nyari barang itu kalo bisa bisa nyari kota yg diinginkan contoh mau nyari kota bandung 
Kenapa shopee pinjam saya selalu gagal terus saat pengajuannya  cuman karna gara gara telat bayar hari doang mau minjam lagi di gagalkan terus,kenapa shopee pinjam saya selalu gagal terus saat pengajuannya  cuman karna gara gara telat bayar hari doang mau minjam lagi di gagalkan terus
Sangat mengecewakan  Tolong kembalikan kebebasan pembeli untuk memilih ekspedisi yang diinginkan,sangat mengecewakan  tolong kembalikan kebebasan pembeli untuk memilih ekspedisi yang diinginkan
Apk shopee nya bikin kecewa banget masa saya mau chat toko  yang jual barangnya ngk bisa  malah di suruh verifikasi no hp kan saya udah verifikasi no hp nya,apk shopee nya bikin kecewa banget masa saya mau chat toko  yang jual barangnya ngk bisa  malah di suruh verifikasi no hp kan saya udah verifikasi no hp nya
Saya belanja  rb dan pakai vocher cashback Pas pesanan diselesaika koin gak masuk Kurang puas sama shopee yg skrg,saya belanja  rb dan pakai vocher cashback pas pesanan diselesaika koin gak masuk kurang puas sama shopee yg skrg
