cleansing,CaseFolding
Kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim Ud berulang ulang aku coba tapi tetap sama mohon penjelasannya,kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim ud berulang ulang aku coba tapi tetap sama mohon penjelasannya
Kenapa di sopy bayak dajal penipuan saya udh ketipu mau beli barang makah di batalin sama toko tau tau toko ajing  bilang punya toko mau antrian owngiriman tau minta otp saya  saya brtaya sama cd sopi bilang akun asli sopy tiba  dia membatal kn pesanan saya  uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn  akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit penipuan  sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban,kenapa di sopy bayak dajal penipuan saya udh ketipu mau beli barang makah di batalin sama toko tau tau toko ajing  bilang punya toko mau antrian owngiriman tau minta otp saya  saya brtaya sama cd sopi bilang akun asli sopy tiba  dia membatal kn pesanan saya  uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn  akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit penipuan  sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban
Payah  masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan  Padahal pendaftaran sukses  Ordean tiap hri jg ada,payah  masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan  padahal pendaftaran sukses  ordean tiap hri jg ada
Katanya pengguna baru bisa dapet voucher gratis ongkir  ehh voucher gk bisa di pake  Udah nyoba pake nomor tetep gak bisa,katanya pengguna baru bisa dapet voucher gratis ongkir  ehh voucher gk bisa di pake  udah nyoba pake nomor tetep gak bisa
kecewa sih saya sebagai reseller buat makai grtis ongkir dibatasi sekarang ada limit mimgguan doang dlam seminggu  buat apa dkrimin vocher terus tp ga bsa digunakan  sangat mengecewakan shopee pelit sekali,kecewa sih saya sebagai reseller buat makai grtis ongkir dibatasi sekarang ada limit mimgguan doang dlam seminggu  buat apa dkrimin vocher terus tp ga bsa digunakan  sangat mengecewakan shopee pelit sekali
Saya pengguna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya,saya pengguna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya
Mohon maaf karena saya beri rating aplikasi ini terlalu banyak menggunakan memori HP  Setelah diinstal  aplikasi ini bisa menggunakan memori hape sampai MB lebih  Jauh lebih besar dibandingkan dgn akun marketplace lainnya yg menggunakan memori sekitar MB  Selain itu  di HlP saya jg muncul ada file  sampah  yang terdeteksi oleh aplikasi pembersih bawaan  & file itu bernama  shopee bla bla  bisa sampai beberapa file dgn file besarnya sekitar MB  Mungkin ini hanya saya yg mengalami,mohon maaf karena saya beri rating aplikasi ini terlalu banyak menggunakan memori hp  setelah diinstal  aplikasi ini bisa menggunakan memori hape sampai mb lebih  jauh lebih besar dibandingkan dgn akun marketplace lainnya yg menggunakan memori sekitar mb  selain itu  di hlp saya jg muncul ada file  sampah  yang terdeteksi oleh aplikasi pembersih bawaan  & file itu bernama  shopee bla bla  bisa sampai beberapa file dgn file besarnya sekitar mb  mungkin ini hanya saya yg mengalami
Sekarang udah semakin jelek apl ini mo blanja repot stengah mati harganya juga lebih mahal dari lazada dan toko pedia sory gwe unistal aja,sekarang udah semakin jelek apl ini mo blanja repot stengah mati harganya juga lebih mahal dari lazada dan toko pedia sory gwe unistal aja
Sebenernya suka  tapi lama lama lemot banget parah gila fotonya gak muncul muncul padahal nonton yutub lancar jaya  Butuh sinyal keknya,sebenernya suka  tapi lama lama lemot banget parah gila fotonya gak muncul muncul padahal nonton yutub lancar jaya  butuh sinyal keknya
Aku kurangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita pengen setelah di update makin ga nyaman belanja di shopee,aku kurangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita pengen setelah di update makin ga nyaman belanja di shopee
saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener perasaan dolo saya beli barang lama kemudian langsung di kirim hadeuh,saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener perasaan dolo saya beli barang lama kemudian langsung di kirim hadeuh
Knp shoope jadi gini  Pdhl blm pernah pengguna baru dapet voucher gratis ongkir tp knp ga bisa dipake  Pdhl blm pernah dipake,knp shoope jadi gini  pdhl blm pernah pengguna baru dapet voucher gratis ongkir tp knp ga bisa dipake  pdhl blm pernah dipake
apa kok kasih promo sebulan sekali  pun cuma hari toko banyak yg belum free ongkir krn ada tahapan proses verif ktp aja susah gagal ae,apa kok kasih promo sebulan sekali  pun cuma hari toko banyak yg belum free ongkir krn ada tahapan proses verif ktp aja susah gagal ae
bintang satu ah  shopee gak jelas  udah bener bisa milih jasa expedisi  malah sekarang gk bisa milih  hadeh,bintang satu ah  shopee gak jelas  udah bener bisa milih jasa expedisi  malah sekarang gk bisa milih  hadeh
Sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gini mending stop pake Shopee tolong dong kembalikan sistem Shopee yang dulu makin diupgrade malah makin jelek,sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gini mending stop pake shopee tolong dong kembalikan sistem shopee yang dulu makin diupgrade malah makin jelek
Samsung nggak bisa untuk bayar  kalo ke menu profil dan pembayaran cuman ada halaman putih aja,samsung nggak bisa untuk bayar  kalo ke menu profil dan pembayaran cuman ada halaman putih aja
Sangat kecewa dengan jasa pengiriman shope yg di satukan jadi reguler orng dari luar kota jadi kemahalan ongkirnya  seperti saya dari sulawesi biasanya kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa  mau di jual kembali jadi susah kasi harga,sangat kecewa dengan jasa pengiriman shope yg di satukan jadi reguler orng dari luar kota jadi kemahalan ongkirnya  seperti saya dari sulawesi biasanya kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa  mau di jual kembali jadi susah kasi harga
Bnar parah shopee nya saya mesan tgl kmrin smpe tgl ini blm juga nyampe pdhal lokasi tokonya dijakarta ini lama bnget kayak kriman dari china bikin  marah aplikasi ini smua lelet pelayanan nya gk biasanya bgus sblm nya,bnar parah shopee nya saya mesan tgl kmrin smpe tgl ini blm juga nyampe pdhal lokasi tokonya dijakarta ini lama bnget kayak kriman dari china bikin  marah aplikasi ini smua lelet pelayanan nya gk biasanya bgus sblm nya
Penipuan ni shopee  dikasih nya notifikasi spinjam  tau  bunga nya mahal banget  saya coba pinjam juta tapi bunga nya juta perbulannya RB  selama bulan jadi total bunga nya  juta saya jadi ajukan spinjam buat modal jualan  tapi bunga nya mahal banget  melebihi koprasi aja  saya mau balikan tu uang ga bisa di balikan  kalo mau balikan juga harus nyicil perbulan  terus shoppe tetap dapat untung  gila yaa shopee nipu banget  nyesal saya belanja selama ini,penipuan ni shopee  dikasih nya notifikasi spinjam  tau  bunga nya mahal banget  saya coba pinjam juta tapi bunga nya juta perbulannya rb  selama bulan jadi total bunga nya  juta saya jadi ajukan spinjam buat modal jualan  tapi bunga nya mahal banget  melebihi koprasi aja  saya mau balikan tu uang ga bisa di balikan  kalo mau balikan juga harus nyicil perbulan  terus shoppe tetap dapat untung  gila yaa shopee nipu banget  nyesal saya belanja selama ini
Halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusinya kak ,halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusinya kak 
Terlalu banyak potongan buat seller  sama az lo yg jualan bukan kami yg jualan  dan banyak barang luar negeri yg masuk hancurin UMKM,terlalu banyak potongan buat seller  sama az lo yg jualan bukan kami yg jualan  dan banyak barang luar negeri yg masuk hancurin umkm
Bintang dulu  soalnya banyak transaksi yg ada poin cashback nya GK di kirim oleh pihak shopee dan ini sudah lebih dari jam,bintang dulu  soalnya banyak transaksi yg ada poin cashback nya gk di kirim oleh pihak shopee dan ini sudah lebih dari jam
Gk suka karna ongkir nya tuhh sampai ribu padahal itu baru ongkir nya aja belum belanjaannya kalo sama pesenanya pasti mahal bgt apalagi biasanya datangnya itu salah tolong di perbaiki lagi ya tolong ya,gk suka karna ongkir nya tuhh sampai ribu padahal itu baru ongkir nya aja belum belanjaannya kalo sama pesenanya pasti mahal bgt apalagi biasanya datangnya itu salah tolong di perbaiki lagi ya tolong ya
Shopee pelayanan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah hari gak ke kirim kirim  tapi saldo shopee paynya berkurang kan aneh tolong dong di bagusin buat fiturnya,shopee pelayanan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah hari gak ke kirim kirim  tapi saldo shopee paynya berkurang kan aneh tolong dong di bagusin buat fiturnya
gratis ongkir tapi harga barang lebih mahal dari sebelah sama aja masih murahan toko sebelah hahahha,gratis ongkir tapi harga barang lebih mahal dari sebelah sama aja masih murahan toko sebelah hahahha
Susah bgt buat bikin alamat baru  saya dibekasi masa titiknya di banten  Mau checkout ga bisa sangat mengecewakan,susah bgt buat bikin alamat baru  saya dibekasi masa titiknya di banten  mau checkout ga bisa sangat mengecewakan
Setelah di update sering banget terjadi kesalahan padahal jaringan bagus dan kuota ada Kecewa saya sebagai pengguna lama apk shopee,setelah di update sering banget terjadi kesalahan padahal jaringan bagus dan kuota ada kecewa saya sebagai pengguna lama apk shopee
Promo download app shoppee dapat pulsa gratis  rb  Stlah didownload mana ada pls gratisnya  Yg ada vocher gratis diskon utk belanja andalan saya tetap tokopedia,promo download app shoppee dapat pulsa gratis  rb  stlah didownload mana ada pls gratisnya  yg ada vocher gratis diskon utk belanja andalan saya tetap tokopedia
Ada BUG pada saat hendak memasukan ONGKIR tiba tiba berubah menjadi ukuran barang sudah dimasukin ukurang barang tetapp tidak bisa di simpan harus di close app dan input ulang baru bisa lagi  ayolah saya harus kerja kali ini,ada bug pada saat hendak memasukan ongkir tiba tiba berubah menjadi ukuran barang sudah dimasukin ukurang barang tetapp tidak bisa di simpan harus di close app dan input ulang baru bisa lagi  ayolah saya harus kerja kali ini
Sekarang shope jadi aneh banget  masa ngak bisa pilih ekspedisi pengiriman nya sendiri voucher gratis ongkir cuma buat shopepay doang,sekarang shope jadi aneh banget  masa ngak bisa pilih ekspedisi pengiriman nya sendiri voucher gratis ongkir cuma buat shopepay doang
Maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo mohon minta penjelasan nya dari pihak shopee,maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo mohon minta penjelasan nya dari pihak shopee
Flash sale apaan  pas refresh sndr malah tbtb abis  hoax marketing  tapi salah penempatannya  mohon koreksi  jangan buat Cs topup sia  gan  thanks,flash sale apaan  pas refresh sndr malah tbtb abis  hoax marketing  tapi salah penempatannya  mohon koreksi  jangan buat cs topup sia  gan  thanks
SISTEM EKSPEDISI YG SEKARANG GK BAGUS SAMA SEKALI  GK BISA PILIH  LG KEMBALIKAN PILIHAN EKSPEDISI YG DULU ATAU KAMI PINDAH KE MARKETPLACE YG LAIN,sistem ekspedisi yg sekarang gk bagus sama sekali  gk bisa pilih  lg kembalikan pilihan ekspedisi yg dulu atau kami pindah ke marketplace yg lain
Mau daftar pengajuan freeongkir untuk penjual aja lama dan susah  Ga kaya ecomerce sebelah tinggal klik ga perlu pengajuan Ribet banget,mau daftar pengajuan freeongkir untuk penjual aja lama dan susah  ga kaya ecomerce sebelah tinggal klik ga perlu pengajuan ribet banget
Gak bisa masuk ah jelek pake akun google gak bisa akun FB gak bisa pake no hp gak bisa,gak bisa masuk ah jelek pake akun google gak bisa akun fb gak bisa pake no hp gak bisa
Makin ribet belanja di shopee harus di foto dulu Ama kurir nya Ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto GPP ga penting,makin ribet belanja di shopee harus di foto dulu ama kurir nya ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto gpp ga penting
Kenapa voucher pengguna baru tidak bisa digunakan  Masa tertera voucher sudah digunakan padahal baru banget daftar shopee,kenapa voucher pengguna baru tidak bisa digunakan  masa tertera voucher sudah digunakan padahal baru banget daftar shopee
Shopee mending fokus bikin tempat lapak jualan saja  Gak perlu ada jasa ekspedisi shopee exspres  krn jasa shopee exspres sangat buruk  jelek  gak seperti JNT dan JNE  Sekali lagi ekspedisi kalian buruk sangat sangat buruk,shopee mending fokus bikin tempat lapak jualan saja  gak perlu ada jasa ekspedisi shopee exspres  krn jasa shopee exspres sangat buruk  jelek  gak seperti jnt dan jne  sekali lagi ekspedisi kalian buruk sangat sangat buruk
