Formalisasi,Stopword Removal
"['aplikasi', 'nya', 'sih', 'baguuss', 'tapi', 'aman', 'privasi', 'kurang', 'barusan', 'akun', 'saya', 'dihack', 'telah', 'itu', 'beri', 'tahu', 'kalau', 'saya', 'menang', 'uang', 'dan', 'harus', 'isi', 'saldo', 'sampai', 'telpon', 'telpon', 'berapa', 'kali', 'emang', 'di', 'aplikasi', 'ada', 'pemberitahuan', 'nya', 'saya', 'menang', 'uang', 'jt', 'tapi', 'saldo', 'saya', 'bahkan', 'sedot', 'samper', 'akun', 'saya', 'keluar', 'sendiri']",aplikasi nya sih baguuss aman privasi barusan akun dihack menang uang isi saldo telpon telpon kali emang aplikasi pemberitahuan nya menang uang jt saldo sedot samper akun
"['shoppe', 'tolong', 'jelas', 'kan', 'kenapa', 'harga', 'ongkos kirim', 'luar', 'negeri', 'lebiihh', 'murah', 'dari', 'ongkos kirim', 'di', 'indonesia', 'itu', 'kenapa']",shoppe tolong harga ongkos kirim negeri lebiihh murah ongkos kirim indonesia
"['saya', 'hampir', 'th', 'langgan', 'dishope', 'tapi', 'kali', 'ini', 'kecewa', 'dg', 'ongkos kirim', 'yang', 'mahal', 'dan', 'pilih', 'expedisi', 'kirim', 'yang', 'tentu', 'oleh', 'shopee', 'tolong', 'ikan', 'hak', 'kami', 'untuk', 'pilih', 'karena', 'kami', 'lebih', 'tahu', 'yang', 'kita', 'butuh', 'dan', 'yang', 'kita', 'ingin', 'tidak_ambil', 'putus', 'yang', 'berat', 'konsumen', 'kalian']",th langgan dishope kali kecewa ongkos kirim mahal pilih expedisi kirim shopee tolong ikan hak pilih butuh tidak ambil putus berat konsumen
"['telah', 'terbaru', 'ketika', 'bayar', 'lewat', 'shopee', 'bayar', 'bahkan', 'ngeblank', 'kata', 'promo', 'ongkos kirim', 'rupiah', 'tapi', 'bahkan', 'error', 'sama', 'saja', 'bohong', 'tipu', 'tipu', 'kamu']",terbaru bayar shopee bayar ngeblank promo ongkos kirim rupiah error bohong tipu tipu
"['kenapa', 'kode', 'otp', 'no', 'seluler', 'untuk', 'login', 'atau', 'untuk', 'daftar', 'shopee', 'bayar', 'gk', 'di', 'kirim', 'sudah', 'ulang', 'ulang', 'aku', 'coba', 'tapi', 'tetap', 'sama', 'mohon', 'jelas']",kode otp no seluler login daftar shopee bayar gk kirim ulang ulang coba mohon
"['kenapa', 'di', 'sopy', 'bayak', 'dajal', 'tipu', 'saya', 'udh', 'tipu', 'mau', 'beli', 'barang', 'makah', 'di', 'batalin', 'sama', 'toko', 'tahu', 'tahu', 'toko', 'ajing', 'bilang', 'punya', 'toko', 'mau', 'antri', 'owngiriman', 'tahu', 'minta', 'otp', 'saya', 'saya', 'brtaya', 'sama', 'cd', 'sopi', 'bilang', 'akun', 'asli', 'sopy', 'tiba', 'dia', 'batal', 'kan', 'pesan', 'saya', 'uang', 'balik', 'ke', 'saldo', 'sopi', 'tapi', 'ada', 'yng', 'tramper', 'rin', 'ke', 'buka', 'warung', 'onlwn', 'akun', 'saya', 'tadi', 'penbeli', 'beru', 'bah', 'jadi', 'penyual', 'di', 'sopy', 'bayk', 'setan', 'uang', 'tipu', 'sungguh', 'saya', 'ke', 'cewa', 'sama', 'sopi', 'tutup', 'ajh', 'apikasi', 'sopi', 'dari', 'pada', 'bayak', 'korban']",sopy bayak dajal tipu udh tipu beli barang makah batalin toko toko ajing bilang toko antri owngiriman otp brtaya cd sopi bilang akun asli sopy batal pesan uang saldo sopi yng tramper rin buka warung onlwn akun penbeli beru bah penyual sopy bayk setan uang tipu sungguh cewa sopi tutup ajh apikasi sopi bayak korban
"['payah', 'masa', 'komplain', 'tiap', 'hari', 'bagai', 'jual', 'agar', 'gratis', 'ongkirnya', 'benar', 'ga', 'ada', 'tindak', 'padahal', 'daftar', 'sukses', 'orde', 'tiap', 'hri', 'juga', 'ada']",payah komplain jual gratis ongkirnya ga tindak daftar sukses orde hri
"['kata', 'guna', 'baru', 'bisa', 'dapat', 'voucer', 'gratis', 'ongkos kirim', 'ehh', 'voucer', 'gk', 'bisa', 'di', 'pakai', 'sudah', 'coba', 'pakai', 'nomor', 'tetep', 'tidak_bisa']",voucer gratis ongkos kirim ehh voucer gk pakai coba pakai nomor tetep tidak bisa
"['kecewa', 'sih', 'saya', 'bagai', 'reseller', 'buat', 'maka', 'grtis', 'ongkos kirim', 'batas', 'sekarang', 'ada', 'limit', 'mimgguan', 'doang', 'dlam', 'minggu', 'buat', 'apa', 'dkrimin', 'voucer', 'terus', 'tapi', 'ga', 'bisa', 'guna', 'sangat', 'kecewa', 'shopee', 'pelit', 'sekali']",kecewa sih reseller grtis ongkos kirim batas limit mimgguan doang dlam minggu dkrimin voucer ga kecewa shopee pelit
"['saya', 'guna', 'baru', 'shopee', 'tapi', 'baru', 'beli', 'sekali', 'pakai', 'nomor', 'itu', 'bahkan', 'waktu', 'mau', 'beli', 'lagi', 'pakai', 'nomor', 'yang', 'sama', 'tidak_bisa', 'kecewa', 'deh', 'jadi', 'nya']",shopee beli pakai nomor beli pakai nomor tidak bisa kecewa deh nya
"['mohon', 'maaf', 'karena', 'saya', 'beri', 'rating', 'aplikasi', 'ini', 'terlalu', 'banyak', 'guna', 'memori', 'seluler', 'telah', 'diinstal', 'aplikasi', 'ini', 'bisa', 'guna', 'memori', 'seluler', 'sampai', 'mb', 'lebih', 'jauh', 'lebih', 'besar', 'banding', 'dengan', 'akun', 'marketplace', 'lain', 'yang', 'guna', 'memori', 'sekitar', 'mb', 'selain', 'itu', 'di', 'hlp', 'saya', 'juga', 'muncul', 'ada', 'file', 'sampah', 'yang', 'deteksi', 'oleh', 'aplikasi', 'bersih', 'bawa', '', 'file', 'itu', 'nama', 'shopee', 'bla', 'bla', 'bisa', 'sampai', 'beberapa', 'file', 'dengan', 'file', 'besar', 'sekitar', 'mb', 'mungkin', 'ini', 'hanya', 'saya', 'yang', 'alami']",mohon maaf rating aplikasi memori seluler diinstal aplikasi memori seluler mb banding akun marketplace memori mb hlp muncul file sampah deteksi aplikasi bersih bawa  file nama shopee bla bla file file mb alami
"['sekarang', 'sudah', 'makin', 'jelek', 'aplikasi', 'ini', 'mau', 'blanja', 'repot', 'setengah', 'mati', 'harga', 'juga', 'lebih', 'mahal', 'dari', 'lazada', 'dan', 'toko', 'dia', 'maaf', 'gwe', 'unistal', 'saja']",jelek aplikasi blanja repot mati harga mahal lazada toko maaf gwe unistal
"['sebenarnya', 'suka', 'tapi', 'lama', 'lama', 'lot', 'banget', 'parah', 'gila', 'foto', 'tidak_muncul', 'muncul', 'padahal', 'nonton', 'youtube', 'lancar', 'jaya', 'butuh', 'sinyal', 'seperti']",suka lot banget parah gila foto tidak muncul muncul nonton youtube lancar jaya butuh sinyal
