ulasan,cleansing
"Kenapa di sopy bayak dajal penipuan y saya udh ketipu,mau beli barang makah di batalin sama toko,y tau tau toko ajing ,bilang y punya toko mau antrian owngiriman tau y minta otp saya ,saya brtaya sama cd sopi bilang y akun asli sopy,tiba2 dia membatal kn pesanan saya ,uang y balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn ,akun saya tdi y penbeli beru bah jadi penyual,di sopy bayk setan duit y ,penipuan ,sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban",Kenapa di sopy bayak dajal penipuan saya udh ketipu mau beli barang makah di batalin sama toko tau tau toko ajing  bilang punya toko mau antrian owngiriman tau minta otp saya  saya brtaya sama cd sopi bilang akun asli sopy tiba  dia membatal kn pesanan saya  uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn  akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit penipuan  sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban
"Payah, masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan, Padahal pendaftaran sukses, Ordean tiap hri jg ada",Payah  masa komplain tiap hari sebagai penjual agar gratis ongkirnya dibenerin ga ada tindakan  Padahal pendaftaran sukses  Ordean tiap hri jg ada
"Katanya pengguna baru bisa dapet voucher gratis ongkir, ehh voucher gk bisa di pake. Udah nyoba pake 2 nomor tetep gak bisa",Katanya pengguna baru bisa dapet voucher gratis ongkir  ehh voucher gk bisa di pake  Udah nyoba pake nomor tetep gak bisa
kecewa sih saya sebagai reseller buat makai grtis ongkir dibatasi sekarang ada limit mimgguan 7x doang dlam seminggu. buat apa dkrimin vocher terus tp ga bsa digunakan. sangat mengecewakan shopee pelit sekali,kecewa sih saya sebagai reseller buat makai grtis ongkir dibatasi sekarang ada limit mimgguan doang dlam seminggu  buat apa dkrimin vocher terus tp ga bsa digunakan  sangat mengecewakan shopee pelit sekali
Saya pengguna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya,Saya pengguna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya
"Mohon maaf karena saya beri rating 1, aplikasi ini terlalu banyak menggunakan memori HP. Setelah diinstal, aplikasi ini bisa menggunakan memori hape sampai 475 MB lebih. Jauh lebih besar dibandingkan dgn akun marketplace lainnya yg menggunakan memori sekitar 150 MB. Selain itu, di HlP saya jg muncul ada file ""sampah"" yang terdeteksi oleh aplikasi pembersih bawaan, & file itu bernama ""shopee bla bla"" bisa sampai beberapa file dgn 1 file besarnya sekitar 250 MB. Mungkin ini hanya saya yg mengalami",Mohon maaf karena saya beri rating aplikasi ini terlalu banyak menggunakan memori HP  Setelah diinstal  aplikasi ini bisa menggunakan memori hape sampai MB lebih  Jauh lebih besar dibandingkan dgn akun marketplace lainnya yg menggunakan memori sekitar MB  Selain itu  di HlP saya jg muncul ada file  sampah  yang terdeteksi oleh aplikasi pembersih bawaan  & file itu bernama  shopee bla bla  bisa sampai beberapa file dgn file besarnya sekitar MB  Mungkin ini hanya saya yg mengalami
Sekarang udah semakin jelek apl ini.. mo blanja repot stengah mati.. harganya juga lebih mahal dari lazada dan toko pedia... sory gwe unistal aja..,Sekarang udah semakin jelek apl ini mo blanja repot stengah mati harganya juga lebih mahal dari lazada dan toko pedia sory gwe unistal aja
"Sebenernya suka, tapi lama lama lemot banget parah gila fotonya gak muncul muncul padahal nonton yutub lancar jaya. Butuh sinyal 10G keknya",Sebenernya suka  tapi lama lama lemot banget parah gila fotonya gak muncul muncul padahal nonton yutub lancar jaya  Butuh sinyal keknya
Aku kurangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita pengen.....setelah di update makin ga nyaman belanja di shopee,Aku kurangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita pengen setelah di update makin ga nyaman belanja di shopee
saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener perasaan dolo saya beli barang g lama kemudian langsung di kirim hadeuh,saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener perasaan dolo saya beli barang lama kemudian langsung di kirim hadeuh
Knp shoope jadi gini? Pdhl blm pernah pengguna baru dapet voucher gratis ongkir tp knp ga bisa dipake? Pdhl blm pernah dipake,Knp shoope jadi gini  Pdhl blm pernah pengguna baru dapet voucher gratis ongkir tp knp ga bisa dipake  Pdhl blm pernah dipake
apa kok kasih promo sebulan sekali. pun cuma 1 hari.. toko banyak yg belum free ongkir krn ada tahapan proses .. verif ktp aja susah gagal ae,apa kok kasih promo sebulan sekali  pun cuma hari toko banyak yg belum free ongkir krn ada tahapan proses verif ktp aja susah gagal ae
"bintang satu ah, shopee gak jelas, udah bener bisa milih jasa expedisi, malah sekarang gk bisa milih, hadeeeh",bintang satu ah  shopee gak jelas  udah bener bisa milih jasa expedisi  malah sekarang gk bisa milih  hadeh
Sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gini mending stop pake Shopee tolong dong kembalikan sistem Shopee yang dulu makin diupgrade malah makin jelek,Sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gini mending stop pake Shopee tolong dong kembalikan sistem Shopee yang dulu makin diupgrade malah makin jelek
"Samsung j1 nggak bisa untuk bayar, kalo ke menu profil dan pembayaran cuman ada halaman putih aja.",Samsung nggak bisa untuk bayar  kalo ke menu profil dan pembayaran cuman ada halaman putih aja
"Sangat kecewa dengan jasa pengiriman shope yg di satukan jadi reguler orng dari luar kota jadi kemahalan ongkirnya, seperti saya dari sulawesi biasanya kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa, mau di jual kembali jadi susah kasi harga",Sangat kecewa dengan jasa pengiriman shope yg di satukan jadi reguler orng dari luar kota jadi kemahalan ongkirnya  seperti saya dari sulawesi biasanya kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa  mau di jual kembali jadi susah kasi harga
"Bnar parah shopee nya saya mesan tgl 2 kmrin smpe tgl ini blm juga nyampe,pdhal lokasi tokonya dijakarta,ini lama bnget kayak kriman dari china bikin .marah aplikasi ini smua lelet pelayanan nya gk biasanya bgus sblm nya..",Bnar parah shopee nya saya mesan tgl kmrin smpe tgl ini blm juga nyampe pdhal lokasi tokonya dijakarta ini lama bnget kayak kriman dari china bikin  marah aplikasi ini smua lelet pelayanan nya gk biasanya bgus sblm nya
"Penipuan ni shopee, dikasih nya notifikasi spinjam, tau2 bunga nya mahal banget, saya coba pinjam 4 juta 500 tapi bunga nya 1 juta 350, perbulannya 975 RB, selama 6 bulan jadi total bunga nya 1juta 350, saya jadi ajukan spinjam buat modal jualan, tapi bunga nya mahal banget, melebihi koprasi aja, saya mau balikan tu uang ga bisa di balikan, kalo mau balikan juga harus nyicil perbulan, terus shoppe tetap dapat untung, gila yaa shopee nipu banget, nyesal saya belanja selama ini.",Penipuan ni shopee  dikasih nya notifikasi spinjam  tau  bunga nya mahal banget  saya coba pinjam juta tapi bunga nya juta perbulannya RB  selama bulan jadi total bunga nya  juta saya jadi ajukan spinjam buat modal jualan  tapi bunga nya mahal banget  melebihi koprasi aja  saya mau balikan tu uang ga bisa di balikan  kalo mau balikan juga harus nyicil perbulan  terus shoppe tetap dapat untung  gila yaa shopee nipu banget  nyesal saya belanja selama ini
Halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusinya y kak....🙏🙏🙏,Halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusinya kak 
"Terlalu banyak potongan buat seller, sama az lo yg jualan bukan kami yg jualan, dan banyak barang luar negeri yg masuk hancurin UMKM",Terlalu banyak potongan buat seller  sama az lo yg jualan bukan kami yg jualan  dan banyak barang luar negeri yg masuk hancurin UMKM
Bintang 1 dulu .soalnya banyak transaksi yg ada poin cashback nya GK di kirim oleh pihak shopee.dan ini sudah lebih dari 1x 24 jam,Bintang dulu  soalnya banyak transaksi yg ada poin cashback nya GK di kirim oleh pihak shopee dan ini sudah lebih dari jam
Gk suka karna ongkir nya tuhh sampai 42 ribu padahal itu baru ongkir nya aja belum belanjaannya kalo sama pesenanya pasti mahalll bgt apalagi biasanya datangnya itu salah tolong di perbaiki lagi ya tolong yaaa,Gk suka karna ongkir nya tuhh sampai ribu padahal itu baru ongkir nya aja belum belanjaannya kalo sama pesenanya pasti mahal bgt apalagi biasanya datangnya itu salah tolong di perbaiki lagi ya tolong ya
"Shopee pelayanan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah 3 hari gak ke kirim kirim, tapi saldo shopee paynya berkurang kan aneh tolong dong di bagusin buat fiturnya",Shopee pelayanan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah hari gak ke kirim kirim  tapi saldo shopee paynya berkurang kan aneh tolong dong di bagusin buat fiturnya
"gratis ongkir tapi harga barang lebih mahal dari sebelah...sama aja,masih murahan toko sebelah...hahahhaaa",gratis ongkir tapi harga barang lebih mahal dari sebelah sama aja masih murahan toko sebelah hahahha
Susah bgt buat bikin alamat baru..saya dibekasi masa titiknya di banten. Mau checkout ga bisa2... sangat mengecewakan,Susah bgt buat bikin alamat baru  saya dibekasi masa titiknya di banten  Mau checkout ga bisa sangat mengecewakan
Setelah di update sering banget terjadi kesalahan padahal jaringan bagus dan kuota ada . Kecewa saya sebagai pengguna lama apk shopee,Setelah di update sering banget terjadi kesalahan padahal jaringan bagus dan kuota ada Kecewa saya sebagai pengguna lama apk shopee
Promo download app shoppee dapat pulsa gratis 20rb. Stlah didownload mana ada pls gratisnya. Yg ada vocher gratis diskon utk belanja.. andalan saya tetap tokopedia,Promo download app shoppee dapat pulsa gratis  rb  Stlah didownload mana ada pls gratisnya  Yg ada vocher gratis diskon utk belanja andalan saya tetap tokopedia
"Ada BUG pada saat hendak memasukan ONGKIR , tiba tiba berubah menjadi ukuran barang , sudah dimasukin ukurang barang , tetapp tidak bisa di simpan , harus di close app dan input ulang baru bisa lagi, ayolah saya harus kerja 2 kali ini !!!",Ada BUG pada saat hendak memasukan ONGKIR tiba tiba berubah menjadi ukuran barang sudah dimasukin ukurang barang tetapp tidak bisa di simpan harus di close app dan input ulang baru bisa lagi  ayolah saya harus kerja kali ini
"Sekarang shope jadi aneh banget, masa ngak bisa pilih ekspedisi pengiriman nya sendiri , voucher gratis ongkir cuma buat shopepay doang",Sekarang shope jadi aneh banget  masa ngak bisa pilih ekspedisi pengiriman nya sendiri voucher gratis ongkir cuma buat shopepay doang
Maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo 150000 mohon minta penjelasan nya dari pihak shopee,Maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo mohon minta penjelasan nya dari pihak shopee
"Flash sale apaan, pas refresh sndr malah tbtb abis, hoax S3 marketing, tapi salah penempatannya, mohon koreksi, jangan buat Cs topup sia"" gan, thanks",Flash sale apaan  pas refresh sndr malah tbtb abis  hoax marketing  tapi salah penempatannya  mohon koreksi  jangan buat Cs topup sia  gan  thanks
"SISTEM EKSPEDISI YG SEKARANG GK BAGUS SAMA SEKALI, GK BISA PILIH2 LG KEMBALIKAN PILIHAN EKSPEDISI YG DULU!! ATAU KAMI PINDAH KE MARKETPLACE YG LAIN!!",SISTEM EKSPEDISI YG SEKARANG GK BAGUS SAMA SEKALI  GK BISA PILIH  LG KEMBALIKAN PILIHAN EKSPEDISI YG DULU ATAU KAMI PINDAH KE MARKETPLACE YG LAIN
Mau daftar pengajuan freeongkir untuk penjual aja lama dan susah. Ga kaya ecomerce sebelah tinggal klik ga perlu pengajuan2. Ribeeeet banget,Mau daftar pengajuan freeongkir untuk penjual aja lama dan susah  Ga kaya ecomerce sebelah tinggal klik ga perlu pengajuan Ribet banget
"Gak bisa masuk ....ah...jelek ..pake akun google gak bisa,akun FB gak bisa,pake no hp gak bisa....",Gak bisa masuk ah jelek pake akun google gak bisa akun FB gak bisa pake no hp gak bisa
Makin ribet belanja di shopee harus di foto dulu Ama kurir nya Ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto GPP ga penting,Makin ribet belanja di shopee harus di foto dulu Ama kurir nya Ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto GPP ga penting
Kenapa voucher pengguna baru tidak bisa digunakan? Masa tertera voucher sudah digunakan padahal baru banget daftar shopee :'(,Kenapa voucher pengguna baru tidak bisa digunakan  Masa tertera voucher sudah digunakan padahal baru banget daftar shopee
"Shopee mending fokus bikin tempat lapak jualan saja! Gak perlu ada jasa ekspedisi shopee exspres, krn jasa shopee exspres sangat buruk, jelek, gak seperti JNT dan JNE. Sekali lagi ekspedisi kalian buruk sangat sangat buruk!!!",Shopee mending fokus bikin tempat lapak jualan saja  Gak perlu ada jasa ekspedisi shopee exspres  krn jasa shopee exspres sangat buruk  jelek  gak seperti JNT dan JNE  Sekali lagi ekspedisi kalian buruk sangat sangat buruk
"Sortir dan laporkan ke polisi supaya ada efek jera kalau hanya akunnya di blokir setelah 2x menolak membayar pesanan COD dia bisa daftar akun lagi dgn nomor baru, pembeli2 abal2 pembeli2 penipu yang checkout dgn metode COD yang seenaknya menolak membayar pesanan,penjual di rugikan waktu dan juga uang terlebih bagi penjual sistem jastip seperti saya!!!",Sortir dan laporkan ke polisi supaya ada efek jera kalau hanya akunnya di blokir setelah menolak membayar pesanan COD dia bisa daftar akun lagi dgn nomor baru  pembeli  abal  pembeli  penipu yang checkout dgn metode COD yang seenaknya menolak membayar pesanan penjual di rugikan waktu dan juga uang terlebih bagi penjual sistem jastip seperti saya
"ganyaman bgt sekarang shopeenya, masak gada voucher gratong yg biasa, voucher semua khusus buat yg shopeepay/paylater. kl mau co, ongkir bisa sampai 27k. kebanyakan barangnya dr jakarta. kasihan yg dijawa kl mau co!!!!!!",ganyaman bgt sekarang shopeenya  masak gada voucher gratong yg biasa  voucher semua khusus buat yg shopeepay paylater  kl mau co  ongkir bisa sampai kebanyakan barangnya dr jakarta  kasihan yg dijawa kl mau co
"HATI HATI KALO BELANJA ONLINE DISINI, GAK SELAMANYA INDAH TERUS YG DIDAPET, GAK SELALU UNTUNG TERUS YG DIDAPET. GARANSI SHOPEE CUMA 65% REALNYA.",HATI HATI KALO BELANJA ONLINE DISINI  GAK SELAMANYA INDAH TERUS YG DIDAPET  GAK SELALU UNTUNG TERUS YG DIDAPET  GARANSI SHOPEE CUMA  % REALNYA
"tarik uang dari shopee ini lamanya minta ampun, nunggu uang masuk ke rekening bisa pergi dulu naik haji, nikah, dan menyelamatkan dunia! heran dah giliran deposit instan tapi pas withdraw berhari-hari~ SANGAT BURUK!",tarik uang dari shopee ini lamanya minta ampun  nunggu uang masuk ke rekening bisa pergi dulu naik haji  nikah  dan menyelamatkan dunia  heran dah giliran deposit instan tapi pas withdraw berhari hari  SANGAT BURUK
"Halo , pihak shopee Menurut ku Di Shopee itu kurang bagus , saya mau pesan barang tapi alamatnya tidak bisa di rumah sendiri , buat lokasi pakai maps , harusnya kalau mau buat lokasi nya itu ada dua pilihan isi kayak formulir dan maps , ini mah cuman maps aja , apalagi susah di cari , kalau di cari ke refresh lagi , terus kalau ke refresh tuh ke Jakarta lagi maps nya . Dan lagi ongkirnya mahal banget , di Shopee ongkirnya mahal bangetttt , di aplikasi yang lain aja murah banget ongkirnya .",Halo pihak shopee Menurut ku Di Shopee itu kurang bagus saya mau pesan barang tapi alamatnya tidak bisa di rumah sendiri buat lokasi pakai maps harusnya kalau mau buat lokasi nya itu ada dua pilihan isi kayak formulir dan maps ini mah cuman maps aja apalagi susah di cari kalau di cari ke refresh lagi terus kalau ke refresh tuh ke Jakarta lagi maps nya Dan lagi ongkirnya mahal banget di Shopee ongkirnya mahal banget di aplikasi yang lain aja murah banget ongkirnya
Parah.. Sekarang udah gk bsa gratis ongkir lagi.. Utk jasa kirim tidak bisa milih lagi.. Hanya sedia reguler aja,Parah Sekarang udah gk bsa gratis ongkir lagi Utk jasa kirim tidak bisa milih lagi Hanya sedia reguler aja
"Aplikasi Tidak Berguna sudah 2x saya pesan barang disini tapi barang saya tidak sampai"" juga blm lagi saya harus di complain sama customer saya kwrna barangnya gak nyampe"" juga sudah saya laporin di email juga di Respon biasa aja! Blm lagi barang yg saya pesan udh di bayar duluan jadinya udh di komplain customer malah ikutan rugi mending uninstall aja aplikasinya!",Aplikasi Tidak Berguna sudah saya pesan barang disini tapi barang saya tidak sampai  juga blm lagi saya harus di complain sama customer saya kwrna barangnya gak nyampe  juga sudah saya laporin di email juga di Respon biasa aja  Blm lagi barang yg saya pesan udh di bayar duluan jadinya udh di komplain customer malah ikutan rugi mending uninstall aja aplikasinya
Kenapa shepee skarang susah banget dipakai........kalau dapat vocer pengguna baru pastii tidak bisa di pakaii ...itu kenapa yaa dulu engak penah gitu sekarang kok gituu ya heran dehh .....padahall itu vocer blom ada yang make kok ada tulisan vocer sudah digunakan terus yang gunain siapa ...........truss kalo mau chekout ituu lemot nya minta ampun padahl sinyal udah buagus bangett kenapaa yaa shopee engak seperti dulu ...duluu nyaman banget pake shopee tapi sekarang kalo make bikin emosi aja,Kenapa shepee skarang susah banget dipakai kalau dapat vocer pengguna baru pastii tidak bisa di pakaii itu kenapa yaa dulu engak penah gitu sekarang kok gituu ya heran dehh padahall itu vocer blom ada yang make kok ada tulisan vocer sudah digunakan terus yang gunain siapa truss kalo mau chekout ituu lemot nya minta ampun padahl sinyal udah buagus bangett kenapaa yaa shopee engak seperti dulu duluu nyaman banget pake shopee tapi sekarang kalo make bikin emosi aja
"Aplikasinya gk lancar dibuka,ribet sekali,pilih2 bekanja tapi petunjuk dikirim je slamat nana tidsk sda,terus gimana, ribet sekali semua langkah2 diikuti tp tetap tudak ada,promo banyak tp tdk fpt digunakan hmmmm",Aplikasinya gk lancar dibuka ribet sekali pilih  bekanja tapi petunjuk dikirim je slamat nana tidsk sda terus gimana  ribet sekali semua langkah  diikuti tp tetap tudak ada promo banyak tp tdk fpt digunakan hm
barang2 nya tidak sesuai dengan yang di pasarkan.. barang rusak kok di kirim .. saya sangat bner2 kecewa dengan barang yang di di terima.. usul saya kalo tidak mau seret rezeki nya jangan jualan dah.. dari pada dosa ..,barang  nya tidak sesuai dengan yang di pasarkan barang rusak kok di kirim saya sangat bner  kecewa dengan barang yang di di terima usul saya kalo tidak mau seret rezeki nya jangan jualan dah dari pada dosa
"Udah 3 bulan akun shopi saya tidak bisa dibuka, alasannya peninjauan akun.. kenapa? Bagaimana cara chat agen shopi",Udah bulan akun shopi saya tidak bisa dibuka  alasannya peninjauan akun kenapa  Bagaimana cara chat agen shopi
Sebenarnya apk ini sangatt jelek 😠 .. pelayanannya lemot kaya siput 😡😡😡 Sebell !!!!!!!!!!!!,Sebenarnya apk ini sangatt jelek pelayanannya lemot kaya siput  Sebell
Kok shopee makin sampah ya min? Hampir 50% sesuatu yg saya cari ga pernah ada si shopee alias diblokir. Mending Tokopedia,Kok shopee makin sampah ya min  Hampir  % sesuatu yg saya cari ga pernah ada si shopee alias diblokir  Mending Tokopedia
kenapa ga bisa milih jasa kirim sekarang tambah mahal buat penjual biasa jadi susah apalagi musim covid kya gini apa2 susah sekarang mau jualan juga dipersulit😔,kenapa ga bisa milih jasa kirim sekarang tambah mahal buat penjual biasa jadi susah apalagi musim covid kya gini apa  susah sekarang mau jualan juga dipersulit
Saya mau beli barang cuma alamatnya aneh bener dah masa saya di bandar lampung cuma katanya lampung timur kan gajelas Makanya pake google maps dong kayak lazada jadi gak emosi,Saya mau beli barang cuma alamatnya aneh bener dah masa saya di bandar lampung cuma katanya lampung timur kan gajelas Makanya pake google maps dong kayak lazada jadi gak emosi
"Kualitas shopee kurang baik, masa saya mau transaksi ataupun isi saldo selalu error, saya coba hari berikutnya pun tetap error, saya berharap hal ini dapat di tindak lanjuti agar pengguna shopee merasa nyaman utk berbelanja..",Kualitas shopee kurang baik  masa saya mau transaksi ataupun isi saldo selalu error  saya coba hari berikutnya pun tetap error  saya berharap hal ini dapat di tindak lanjuti agar pengguna shopee merasa nyaman utk berbelanja
Jangan di dowload.!! Pengiriman lama ongkir mahal pelit gratis ongkir.!!!pindah aplikasi lain saja.,Jangan di dowload Pengiriman lama ongkir mahal pelit gratis ongkir pindah aplikasi lain saja
Shopee kok semakin ga jelas ya udah senang dapet voucher gratis ongkir ternyata ga bisa di gunaiin kalau ga niat kasih voucher ga usah ngasih ....,Shopee kok semakin ga jelas ya udah senang dapet voucher gratis ongkir ternyata ga bisa di gunaiin kalau ga niat kasih voucher ga usah ngasih
"Tidak bisa memberikan nilai bintang 1 saat ulasan, ketika memberi barang tidak sesuai Di paksa harus memberi nilai bintang 3 keatas",Tidak bisa memberikan nilai bintang saat ulasan  ketika memberi barang tidak sesuai Di paksa harus memberi nilai bintang keatas
