Ulasan,Term,TF,IDF,TF-IDF
 ulasan1,aplikasi,1,2.3965578792003033,0.1111399968817024
 ulasan1,bayar,2,3.343577285795709,0.3101157475412739
 ulasan1,bisa,1,3.398235698333573,0.1575926491047691
 ulasan1,gratis,2,2.903265446357376,0.26927696214254004
 ulasan1,gunain,1,6.500577706945823,0.3014632746196399
 ulasan1,iya,1,3.119016299800526,0.1446438931612537
 ulasan1,kirim,2,2.284753247186012,0.2119101491113953
 ulasan1,nya,3,2.4415725111690305,0.33968263020001505
 ulasan1,ongkos,2,2.8434469511464666,0.2637288154201859
 ulasan1,pakai,1,3.1477539095678826,0.14597659532031748
 ulasan1,pernah,1,5.201294722815561,0.24120922940840084
 ulasan1,rupiah,2,5.401965418277713,0.5010306030604071
 ulasan1,shopee,3,1.6863628940230229,0.23461444650651733
 ulasan1,tidak,2,2.1764450506908433,0.2018645977602612
 ulasan1,voucer,1,3.488316131440621,0.16177011510361258
 ulasan2,bisa,1,3.398235698333573,0.19138214046941734
 ulasan2,konsumen,2,4.751377852136564,0.5351770414081608
 ulasan2,pakai,3,3.1477539095678826,0.5318264543976406
 ulasan2,sebal,1,7.193724887505768,0.40513683838766784
 ulasan2,tidak,1,2.1764450506908433,0.12257322604772308
 ulasan2,udh,1,4.370363839892564,0.24613053965589832
 ulasan2,voucer,2,3.488316131440621,0.39291059663488426
 ulasan3,bank,4,5.9409619190104,0.6866250474370332
 ulasan3,canggih,1,8.292337176173877,0.23959614977226953
 ulasan3,gantung,1,7.376046444299722,0.2131211371473778
 ulasan3,jual,1,3.44030691225426,0.09940313239787657
 ulasan3,kecewa,1,3.398235698333573,0.09818754013992968
 ulasan3,nya,1,2.4415725111690305,0.07054601864800546
 ulasan3,proses,1,5.374566444089598,0.15529101136879578
 ulasan3,realtime,1,7.886872068065713,0.22788077005413107
 ulasan3,saldo,1,4.519576238079239,0.13058719661778953
 ulasan3,shopeenya,2,6.788259779397603,0.39227563285073
 ulasan3,sistem,1,4.858349971688732,0.14037561699823803
 ulasan3,tari,1,6.500577706945823,0.18782562223287594
 ulasan3,teknologi,1,8.292337176173877,0.23959614977226953
 ulasan3,tidak,2,2.1764450506908433,0.1257710204632672
 ulasan3,transfer,1,5.5842869750716675,0.1613506096079842
