negasi,Formalisasi
"['aplikasi', 'shopee', 'aku', 'kok', 'tidak_bisa', 'gunain', 'gratis', 'ongkir', 'rupiah', 'ya', 'yang', 'banyak', 'vocer', 'nya', 'malah', 'shopee', 'pay', 'yang', 'gratis', 'ongkir', 'rupiah', 'nya', 'aku', 'tidak_pernah', 'pakek', 'shopee', 'pay', 'soal', 'nya']","['aplikasi', 'shopee', 'aku', 'kok', 'tidak_bisa', 'gunain', 'gratis', 'ongkos kirim', 'rupiah', 'iya', 'yang', 'banyak', 'voucer', 'nya', 'bahkan', 'shopee', 'bayar', 'yang', 'gratis', 'ongkos kirim', 'rupiah', 'nya', 'aku', 'tidak_pernah', 'pakai', 'shopee', 'bayar', 'soal', 'nya']"
"['sebal', 'vocer', 'penguna', 'baru', 'tidak_bisa', 'di', 'pakek', 'kata', 'udh', 'di', 'pakek', 'pdhl', 'saya', 'penguna', 'baru', 'terus', 'yang', 'pakek', 'vocer', 'saya', 'siapa']","['sebal', 'voucer', 'konsumen', 'baru', 'tidak_bisa', 'di', 'pakai', 'kata', 'udh', 'di', 'pakai', 'padahal', 'saya', 'konsumen', 'baru', 'terus', 'yang', 'pakai', 'voucer', 'saya', 'siapa']"
"['saya', 'bagai', 'jual', 'kecewa', 'tari', 'saldo', 'lalu', 'bank', 'lain', 'selain', 'bank', 'tentu', 'lama', 'lebih', 'dari', 'satu', 'hari', 'padahal', 'teknologi', 'udah', 'canggih', 'yang', 'masalah', 'tidak_bank', 'nya', 'tapi', 'sistem', 'di', 'shopeenya', 'karena', 'transfer', 'ke', 'bank', 'mana', 'sekarang', 'harus', 'realtime', 'gantung', 'shopeenya', 'mau', 'proses', 'atau', 'tidak_']","['saya', 'bagai', 'jual', 'kecewa', 'tari', 'saldo', 'lalu', 'bank', 'lain', 'selain', 'bank', 'tentu', 'lama', 'lebih', 'dari', 'satu', 'hari', 'padahal', 'teknologi', 'sudah', 'canggih', 'yang', 'masalah', 'tidak_bank', 'nya', 'tapi', 'sistem', 'di', 'shopeenya', 'karena', 'transfer', 'ke', 'bank', 'mana', 'sekarang', 'harus', 'realtime', 'gantung', 'shopeenya', 'mau', 'proses', 'atau', 'tidak_']"
"['aplukasi', 'apa', 'sih', 'ini', 'suruh', 'buat', 'nama', 'uda', 'gue', 'tulis', 'nama', 'tapi', 'kata', 'tidak_tersedi', 'aplikasi', 'tolol', 'mending', 'kalian', 'lebih', 'baik', 'nggak', 'usa', 'donwlod', 'aja', 'mending', 'nggak', 'usa', 'ada', 'di', 'plastore', '', 'plis', 'bapak', 'plastore', 'uinstal', 'aja', 'aplikasi', 'ini', '']","['aplukasi', 'apa', 'sih', 'ini', 'suruh', 'buat', 'nama', 'uda', 'saya', 'tulis', 'nama', 'tapi', 'kata', 'tidak_tersedi', 'aplikasi', 'tolol', 'lebih baik', 'kalian', 'lebih', 'baik', 'tidak', 'usa', 'donwlod', 'saja', 'lebih baik', 'tidak', 'usa', 'ada', 'di', 'plastore', '', 'tolong', 'bapak', 'plastore', 'uinstal', 'saja', 'aplikasi', 'ini', '']"
"['makin', 'kesini', 'shoppe', 'makin', 'tidak_jelas', 'apa', 'kabanyakan', 'limit', 'baru', 'belanja', 'kali', 'udh', 'kena', 'limit', 'hari', 'limit', 'minggu']","['makin', 'kesini', 'shoppe', 'makin', 'tidak_jelas', 'apa', 'kabanyakan', 'limit', 'baru', 'belanja', 'kali', 'udh', 'kena', 'limit', 'hari', 'limit', 'minggu']"
"['shopee', 'sangat', 'memgecewakan', 'voucher', 'jambore', 'nya', 'sering', 'error', 'padahal', 'produk', 'sudah', 'penuh', 'syarat', 'apa', 'lagi', 'hey', 'kecewa', 'bet', 'kata', 'rp', 'terus', 'mau', 'check', 'out', 'malah', 'voucher', 'tidak_sah', 'aneh', 'bet']","['shopee', 'sangat', 'memgecewakan', 'voucer', 'jambore', 'nya', 'sering', 'error', 'padahal', 'produk', 'sudah', 'penuh', 'syarat', 'apa', 'lagi', 'hai', 'kecewa', 'banget', 'kata', 'rupiah', 'terus', 'mau', 'check', 'keluar', 'bahkan', 'voucer', 'tidak_sah', 'aneh', 'banget']"
"['aplikasi', 'guna', 'bisa', 'ngakses', 'nomor', 'padahal', 'nomor', 'aku', 'masih', 'aktif', 'nomor', 'hari', 'aku', 'pake', 'tapi', 'di', 'kirim', 'kode', 'otp', 'makassih', 'sangat', 'kecewa', 'sma', 'pihak', 'shoppy']","['aplikasi', 'guna', 'bisa', 'akses', 'nomor', 'padahal', 'nomor', 'aku', 'masih', 'aktif', 'nomor', 'hari', 'aku', 'pakai', 'tapi', 'di', 'kirim', 'kode', 'otp', 'makassih', 'sangat', 'kecewa', 'sama', 'pihak', 'shoppy']"
"['saya', 'gamau', 'ganti', 'bintang', 'kecuali', 'shopee', 'udah', 'kayak', 'dulu', 'tau', 'tidak_sih', 'shopee', 'makin', 'pelit', 'gratis', 'ongkir', 'minggu', 'cuman', 'kali', 'woy', 'kelen', 'becanda', 'dah', 'gitu', 'sekarang', 'shopee', 'ga', 'bisa', 'milih', 'ekpedisi', 'saya', 'pilih', 'reguler', 'biar', 'cepat', 'sampe', 'saya', 'bayar', 'ongkir', 'biar', 'cepat', 'sampe', 'malah', 'kasih', 'pedis', 'yg', 'paling', 'lama', 'main', 'kelen', 'ga', 'cantik', 'sayang', 'mentang', 'ekpedisi', 'itu', 'yg', 'paling', 'murah', 'itu', 'yg', 'kelen', 'kasih', 'heh', 'lawak', 'shopee']","['saya', 'gamau', 'ganti', 'bintang', 'kecuali', 'shopee', 'sudah', 'kayak', 'dulu', 'tahu', 'tidak_sih', 'shopee', 'makin', 'pelit', 'gratis', 'ongkos kirim', 'minggu', 'cuman', 'kali', 'woy', 'kelen', 'becanda', 'sudah', 'gitu', 'sekarang', 'shopee', 'ga', 'bisa', 'milih', 'ekpedisi', 'saya', 'pilih', 'reguler', 'biar', 'cepat', 'sampai', 'saya', 'bayar', 'ongkos kirim', 'biar', 'cepat', 'sampai', 'bahkan', 'kasih', 'pedis', 'yang', 'paling', 'lama', 'main', 'kelen', 'ga', 'cantik', 'sayang', 'mentang', 'ekpedisi', 'itu', 'yang', 'paling', 'murah', 'itu', 'yang', 'kelen', 'kasih', 'heh', 'lawak', 'shopee']"
"['sumpah', 'shopee', 'makin', 'lama', 'makin', 'gila', 'karena', 'saya', 'itu', 'habis', 'beli', 'hp', 'baru', 'terus', 'saya', 'bikin', 'akun', 'gogel', 'baru', 'dan', 'no', 'hp', 'baru', 'saya', 'daftar', 'shopee', 'untuk', 'beli', 'baju', 'batik', 'sama', 'cela', 'jeans', 'untuk', 'adik', 'sya', 'waktu', 'saya', 'cecaout', 'maaf', 'kode', 'voucher', 'ini', 'telah', 'di', 'guna', 'mohon', 'pakai', 'voucer', 'lain', 'lah', 'sya', 'kan', 'bingung', 'apa', 'ini', 'kok', 'harus', 'pakai', 'ongkir', 'sih', 'padahal', 'kan', 'sya', 'guna', 'baru', 'hadeh', 'shopee', 'shopee', 'duit', 'mulu', 'pikir', 'lu', 'akhir', 'nya', 'paksa', 'pakai', 'ongkir', 'mahal', 'lagi', 'ongkirnya', 'sekitarran', 'rb', 'kimak', 'kau', 'shopee']","['sumpah', 'shopee', 'makin', 'lama', 'makin', 'gila', 'karena', 'saya', 'itu', 'habis', 'beli', 'seluler', 'baru', 'terus', 'saya', 'bikin', 'akun', 'gogel', 'baru', 'dan', 'no', 'seluler', 'baru', 'saya', 'daftar', 'shopee', 'untuk', 'beli', 'baju', 'batik', 'sama', 'cela', 'jeans', 'untuk', 'adik', 'sya', 'waktu', 'saya', 'cecaout', 'maaf', 'kode', 'voucer', 'ini', 'telah', 'di', 'guna', 'mohon', 'pakai', 'voucer', 'lain', 'lah', 'sya', 'kan', 'bingung', 'apa', 'ini', 'kok', 'harus', 'pakai', 'ongkos kirim', 'sih', 'padahal', 'kan', 'sya', 'guna', 'baru', 'hadeh', 'shopee', 'shopee', 'uang', 'melulu', 'pikir', 'kamu', 'akhir', 'nya', 'paksa', 'pakai', 'ongkos kirim', 'mahal', 'lagi', 'ongkirnya', 'sekitarran', 'ribu', 'kimak', 'kamu', 'shopee']"
"['aplikasi', 'tipu', 'bilang', 'baru', 'pertama', 'kali', 'download', 'dapat', 'saldo', 'shopeepay', 'ehh', 'tau', 'tau', 'tidak_ada', 'dasar', 'aplikasi', 'tipu']","['aplikasi', 'tipu', 'bilang', 'baru', 'pertama', 'kali', 'unduh', 'dapat', 'saldo', 'shopeepay', 'ehh', 'tahu', 'tahu', 'tidak_ada', 'dasar', 'aplikasi', 'tipu']"
